file,datetime,uploaddir,sampratedir
HOF-IW0006I126.dat,2022-04-18 20:00:00,20220421,
HOF-IW0006S127.dat,2022-04-18 20:00:00,20220421,
HOF-IW0006S128.dat,2022-04-19 00:00:00,20220421,
HOF-IW0006I127.dat,2022-04-19 00:00:00,20220421,
HOF-IW0006I128.dat,2022-04-19 04:00:00,20220421,
HOF-IW0006S129.dat,2022-04-19 04:00:00,20220421,
HOF-IW0006I129.dat,2022-04-19 08:00:00,20220421,
HOF-IW0006S130.dat,2022-04-19 08:00:00,20220421,
HOF-IW0006I130.dat,2022-04-19 12:00:00,20220421,
HOF-IW0006S131.dat,2022-04-19 12:00:00,20220421,
HOF-IW0006I131.dat,2022-04-19 16:00:00,20220421,
HOF-IW0006S132.dat,2022-04-19 16:00:00,20220421,
HOF-IW0006I132.dat,2022-04-19 20:00:00,20220421,
HOF-IW0006S133.dat,2022-04-19 20:00:00,20220421,
HOF-IW0006S134.dat,2022-04-20 00:00:00,20220421,
HOF-IW0006I133.dat,2022-04-20 00:00:00,20220421,
HOF-IW0006S135.dat,2022-04-20 04:00:00,20220421,
HOF-IW0006I134.dat,2022-04-20 04:00:00,20220421,
HOF-IW0006I135.dat,2022-04-20 08:00:00,20220421,
HOF-IW0006S136.dat,2022-04-20 08:00:00,20220421,
HOF-IW0006S137.dat,2022-04-20 12:00:00,20220421,
HOF-IW0006I136.dat,2022-04-20 12:00:00,20220421,
HOF-IW0006S138.dat,2022-04-20 16:00:00,20220421,
HOF-IW0006I137.dat,2022-04-20 16:00:00,20220421,
HOF-IW0006S139.dat,2022-04-20 20:00:00,20220421,
HOF-IW0006I138.dat,2022-04-20 20:00:00,20220421,
HOF-IW0006I139.dat,2022-04-21 00:00:00,20220421,
HOF-IW0006S140.dat,2022-04-21 00:00:00,20220421,
HOF-IW0006I140.dat,2022-04-21 04:00:00,20220421,
HOF-IW0006S141.dat,2022-04-21 04:00:00,20220421,
HOF-IW0006S0.dat,2022-04-21 10:19:00,20220421B,
HOF-IW0006I0.dat,2022-04-21 10:25:04,20220421B,
HOF-IW0006I1.dat,2022-04-21 12:00:00,20220421B,
HOF-IW0006S1.dat,2022-04-21 12:00:00,20220421B,
HOF-IW0006S2.dat,2022-04-21 12:15:24,20220421B,
Absolute Sensors0.dat,2022-04-21 12:37:08,20220421B,
Absolute Sensors1.dat,2022-04-21 12:37:48,20220421B,
Absolute Sensors2.dat,2022-04-21 14:02:40,20220603,
Absolute Sensors3.dat,2022-04-21 16:00:00,20220603,
HOF-IW0006S4.dat,2022-04-21 16:00:00,20220603,
Absolute Sensors4.dat,2022-04-21 20:00:00,20220603,
